Frame,X Position [µm],Y Position [µm],Intensity,Fit Radius
70,15.32336,14.53296,9726.1,1.1
70,16.2816,18.5888,14573,1.1
70,16.2944,19.3056,9794.5,1.1
70,15.01648,24.272,14370,1.1
70,17.8,24.3088,9657.2,1.1
70,21.616,4.22928,7335,1.1
71,9.12688,8.20112,9463.2,1.1
71,7.17856,11.85328,7819,1.1
71,5.86656,13.03376,9425,1.1
71,16.7968,15.38432,11612,1.1
71,16.2656,18.728,10553,1.1
71,19.0608,21.6112,7588.9,1.1
71,14.99088,24.312,10530,1.1
71,9.09088,4.85664,7672.4,1.1
72,13.6568,8.55232,10875,1.1
72,19.6272,12.20112,8391.9,1.1
72,5.88096,13.07344,7651.5,1.1
72,16.7952,15.33936,12386,1.1
72,16.344,18.6176,10703,1.1
72,7.91872,19.1024,9181.2,1.1
72,21.0304,19.0448,10935,1.1
72,9.44672,24.8496,9428.7,1.1
72,9.5648,9.22112,9565.1,1.1
73,16.7744,15.35664,13151,1.1
73,16.2352,18.6192,12481,1.1
73,21.0592,18.984,8238,1.1
73,14.86448,24.2192,7533.8,1.1
73,20.5744,5.64656,6526.6,1.1
74,10.36912,6.10432,6969.6,1.1
74,7.21968,11.87152,8315.7,1.1
74,7.81952,13.276,7926.2,1.1
74,18.304,17.44,10316,1.1
74,21.0368,19.1056,14261,1.1
74,21.8544,21.4816,8005.3,1.1
74,15.01632,24.2976,6157.9,1.1
74,14.57088,12.06832,9871.3,1.1
75,16.2112,15.33104,9163.7,1.1
75,16.7696,15.32992,12614,1.1
75,20.936,19.096,7779.5,1.1
75,7.7232,21.0928,9088.8,1.1
75,13.60784,8.50624,10337,1.1
76,11.65488,14.1992,10061,1.1
76,8.19984,15.65952,7632.8,1.1
76,16.2736,18.5616,10060,1.1
76,16.3264,19.1568,9760.2,1.1
76,21.0288,19.1392,11598,1.1
76,5.40832,22.8528,5607.9,1.1
76,9.97552,23.5376,8890,1.1
76,19.6976,23.8528,11284,1.1
76,20.3936,12.66304,7525,1.1
77,20.3248,17.9104,8166.8,1.1
77,21.08,19.0368,10608,1.1
77,16.3664,19.184,10264,1.1
77,19.6864,23.8336,12136,1.1
77,16.1504,18.5968,9143.3,1.1
77,13.92144,6.48432,8466.1,1.1
78,17.1936,6.82096,8791.8,1.1
78,17.9008,7.21056,8213.8,1.1
78,23.3376,9.42432,5782.8,1.1
78,20.4976,12.46448,7191.7,1.1
78,16.6704,15.33984,10254,1.1
78,15.42048,18.5712,9402.2,1.1
78,21.0192,18.9008,13022,1.1
78,9.0136,21.2832,7790.4,1.1
78,13.94064,23.0304,6859.7,1.1
78,10.28288,6.15008,7259.3,1.1
79,12.49248,7.3064,7031.2,1.1
79,9.12064,8.2472,11730,1.1
79,13.52864,8.79184,11213,1.1
79,7.7192,13.26416,7370.5,1.1
79,12.08064,13.97968,14568,1.1
79,16.7216,15.22896,10977,1.1
79,9.64,15.32976,11339,1.1
79,19.848,18.912,10451,1.1
79,19.7344,23.7584,12456,1.1
79,14.5952,12.19888,8461,1.1
80,16.7968,15.14016,13076,1.1
80,15.35168,16.7824,7454.8,1.1
